test_name,tail,dependent_variable,independent_variable,independent_variable_levels,subset_factors,subset_levels,sample_size_1,sample_size_2,degrees_freedom,mean_1,mean_2,standard_error_1,standard_error_2,t_stats,r,beta,p_value,cohens_d,p_value_threshold,conf_interval_95_1,conf_interval_95_2
paired_ttest,two_sided,dist_CCM_avg,area,"dlPFC,ACC","model_config,fit_phase","1,irrational",2000,2000,1999,3.05308522563632,3.18691195709515,0.0114639576358034,0.018989367100584,-8.12694164169478,NaN,NaN,7.63051493078336e-16,-0.181723939600033,0.005,-0.166121104425748,-0.101532358491912
paired_ttest,two_sided,dist_RDM_avg_OFC,fit_phase,"initial,rational","model_config","2",1000,1000,999,0.493687588954935,0.549726325412134,0.00373147610189484,0.00281144262368219,-12.6833573425808,NaN,NaN,2.74998664533318e-34,-0.401082975803759,0.005,-0.0647089278749162,-0.0473685450394816
paired_ttest,two_sided,dist_CCM_avg_OFC,fit_phase,"initial,rational","model_config","2",1000,1000,999,3.06338851224417,3.59175959154625,0.0253769280272848,0.0261280460528546,-15.2738233322493,NaN,NaN,1.71210741407783e-47,-0.483000703089305,0.005,-0.596254833960224,-0.460487324643936
paired_ttest,two_sided,dist_CCM_avg_OFC,fit_phase,"rational,irrational","model_config","2",2000,2000,1999,3.59175959154625,2.55461500532068,0.0184706968248459,0.012065333641127,46.9791621433259,NaN,NaN,0,1.05048600078461,0.005,0.993848846467737,1.0804403259834
paired_ttest,two_sided,dist_CCM_same_OFC,fit_phase,"rational,irrational","model_config","2",2000,2000,1999,3.59175959154625,2.58371556263363,0.0184706968248459,0.0132640257287528,44.269950262292,NaN,NaN,6.28660118696007e-299,0.989906181470196,0.005,0.963387846396411,1.05270021142883
paired_ttest,two_sided,dist_CCM_other_OFC,fit_phase,"rational,irrational","model_config","2",2000,2000,1999,3.59175959154625,2.52551444800773,0.0184706968248459,0.0124397654683783,47.8851003767873,NaN,NaN,0,1.07074339551897,0.005,1.02257669216123,1.10991359491581
paired_ttest,two_sided,dist_RDM_avg,area,"OFC,dlPFC","model_config,fit_phase","2,irrational",2000,2000,1999,0.549726325412134,0.325504300017058,0.00198749283576104,0.000657553653799556,143.24446867058,NaN,NaN,0,3.20304369348255,0.005,0.221152215107683,0.227291835682469
paired_ttest,two_sided,dist_RDM_avg,area,"OFC,ACC","model_config,fit_phase","2,irrational",2000,2000,1999,0.549726325412134,0.492329954029926,0.00198749283576104,0.0020254767114096,142.266968664015,NaN,NaN,0,3.1811861288557,0.005,0.056605161895523,0.0581875808688925
paired_ttest,two_sided,dist_RDM_avg,area,"dlPFC,ACC","model_config,fit_phase","2,irrational",2000,2000,1999,0.325504300017058,0.492329954029926,0.000657553653799556,0.0020254767114096,-101.42994119186,NaN,NaN,0,-2.26804243458805,0.005,-0.170051233801674,-0.163600074224062
paired_ttest,two_sided,dist_CCM_avg,area,"OFC,dlPFC","model_config,fit_phase","2,irrational",2000,2000,1999,2.55461500532068,2.93425494885274,0.012065333641127,0.0102661121563214,-90.2105449846802,NaN,NaN,0,-2.01716910873048,0.005,-0.387893207211358,-0.37138667985277
paired_ttest,two_sided,dist_CCM_avg,area,"OFC,ACC","model_config,fit_phase","2,irrational",2000,2000,1999,2.55461500532068,3.01678682499626,0.012065333641127,0.0173156550568838,-25.0636613304285,NaN,NaN,8.76232723939255e-121,-0.560440504998709,0.005,-0.498335287916323,-0.426008351434846
paired_ttest,two_sided,dist_CCM_avg,area,"dlPFC,ACC","model_config,fit_phase","2,irrational",2000,2000,1999,2.93425494885274,3.01678682499626,0.0102661121563214,0.0173156550568838,-5.23754154517172,NaN,NaN,1.79839843754665e-07,-0.117114989299833,0.005,-0.113435212128973,-0.0516285401580682
paired_ttest,two_sided,dist_RDM_avg_OFC,fit_phase,"initial,rational","model_config","3",1000,1000,999,0.493687588954935,0.591930897925442,0.00373147610189484,0.00309261994664917,-19.9444068469041,NaN,NaN,9.23269866195864e-75,-0.630697522172742,0.005,-0.107909523661754,-0.0885770942792592
paired_ttest,two_sided,dist_CCM_avg_OFC,fit_phase,"initial,rational","model_config","3",1000,1000,999,3.06338851224417,3.84368685361757,0.0253769280272848,0.0287875401623517,-20.4589127640938,NaN,NaN,5.66014164991588e-78,-0.646967627852275,0.005,-0.855141604306612,-0.705455078440198
paired_ttest,two_sided,dist_CCM_avg_OFC,fit_phase,"rational,irrational","model_config","3",2000,2000,1999,3.84368685361757,3.16064811704831,0.0203507727135907,0.0133052806916417,27.9887368976162,NaN,NaN,9.90738760627064e-146,0.625847183074264,0.005,0.635178685108052,0.730898788030482
paired_ttest,two_sided,dist_CCM_same_OFC,fit_phase,"rational,irrational","model_config","3",2000,2000,1999,3.84368685361757,3.19024491792198,0.0203507727135907,0.0142229926719872,26.1573275262102,NaN,NaN,5.89270282210399e-130,0.584895624583324,0.005,0.60444998195321,0.702433889437972
paired_ttest,two_sided,dist_CCM_other_OFC,fit_phase,"rational,irrational","model_config","3",2000,2000,1999,3.84368685361757,3.13105131617463,0.0203507727135907,0.0136487085554395,29.0551268099677,NaN,NaN,3.94883248449764e-155,0.649692386419644,0.005,0.664534346714676,0.76073672817121
paired_ttest,two_sided,dist_RDM_avg,area,"OFC,dlPFC","model_config,fit_phase","3,irrational",2000,2000,1999,0.591930897925442,0.343085538453463,0.00218626549086272,0.000825289537604187,125.747887174999,NaN,NaN,0,2.81180823750273,0.005,0.244964392235907,0.252726326708049
paired_ttest,two_sided,dist_RDM_avg,area,"OFC,ACC","model_config,fit_phase","3,irrational",2000,2000,1999,0.591930897925442,0.538250594199285,0.00218626549086272,0.00219847883974033,120.742680641245,NaN,NaN,0,2.69988841699371,0.005,0.0528084065367896,0.0545522009155236
paired_ttest,two_sided,dist_RDM_avg,area,"dlPFC,ACC","model_config,fit_phase","3,irrational",2000,2000,1999,0.343085538453463,0.538250594199285,0.000825289537604187,0.00219847883974033,-100.82783526934,NaN,NaN,0,-2.25457893686395,0.005,-0.198961112908223,-0.19136899858342
paired_ttest,two_sided,dist_CCM_avg,area,"OFC,dlPFC","model_config,fit_phase","3,irrational",2000,2000,1999,3.16064811704831,3.23401083397061,0.0133052806916417,0.0120980215596215,-17.5989438087673,NaN,NaN,1.44067602112954e-64,-0.393524346886028,0.005,-0.0815379459612204,-0.065187487883382
paired_ttest,two_sided,dist_CCM_avg,area,"OFC,ACC","model_config,fit_phase","3,irrational",2000,2000,1999,3.16064811704831,3.42014358049021,0.0133052806916417,0.0154335726502972,-16.2526959737,NaN,NaN,6.96087564182904e-56,-0.363421330148304,0.005,-0.290807800636944,-0.228183126246871
paired_ttest,two_sided,dist_CCM_avg,area,"dlPFC,ACC","model_config,fit_phase","3,irrational",2000,2000,1999,3.23401083397061,3.42014358049021,0.0120980215596215,0.0154335726502972,-13.3474884820846,NaN,NaN,5.42645376687259e-39,-0.298458915748367,0.005,-0.213481299819887,-0.158784193219326
paired_ttest,two_sided,dist_RDM_avg_OFC,fit_phase,"initial,rational","model_config","4",1000,1000,999,0.493687588954935,0.614827358098562,0.00373147610189484,0.00347646044059416,-24.3018141051228,NaN,NaN,7.22732499188164e-103,-0.768490838461945,0.005,-0.130921655819015,-0.111357882468239
paired_ttest,two_sided,dist_CCM_avg_OFC,fit_phase,"initial,rational","model_config","4",1000,1000,999,3.06338851224417,3.97008518491012,0.0253769280272848,0.0295482452959799,-23.1662990811821,NaN,NaN,2.2680420642109e-95,-0.732582700532015,0.005,-0.983499983682921,-0.829893361648992
paired_ttest,two_sided,dist_CCM_avg_OFC,fit_phase,"rational,irrational","model_config","4",2000,2000,1999,3.97008518491012,3.05568137445687,0.0208885379130215,0.0126643405686717,36.8593647471189,NaN,NaN,2.20000250795421e-227,0.824200451820173,0.005,0.865751742144888,0.963055878761618
paired_ttest,two_sided,dist_CCM_same_OFC,fit_phase,"rational,irrational","model_config","4",2000,2000,1999,3.97008518491012,3.10126012521764,0.0208885379130215,0.0133178963352519,34.6276643530835,NaN,NaN,3.09248931451549e-206,0.774298113955409,0.005,0.819618809963313,0.918031309421652
paired_ttest,two_sided,dist_CCM_other_OFC,fit_phase,"rational,irrational","model_config","4",2000,2000,1999,3.97008518491012,3.0101026236961,0.0208885379130215,0.0130438902093822,38.3053236823861,NaN,NaN,3.19377486305507e-241,0.856533076539478,0.005,0.910833487866561,1.00913163456148
paired_ttest,two_sided,dist_RDM_avg,area,"OFC,dlPFC","model_config,fit_phase","4,irrational",2000,2000,1999,0.614827358098562,0.425959561206681,0.00245761381053481,0.00283152466637034,76.9094314520044,NaN,NaN,0,1.71974716837542,0.005,0.184051764045114,0.193683829738647
paired_ttest,two_sided,dist_RDM_avg,area,"OFC,ACC","model_config,fit_phase","4,irrational",2000,2000,1999,0.614827358098562,0.579612402734585,0.00245761381053481,0.00271208197155783,58.0982333435127,NaN,NaN,0,1.29911599128739,0.005,0.0340262469343254,0.0364036637936288
paired_ttest,two_sided,dist_RDM_avg,area,"dlPFC,ACC","model_config,fit_phase","4,irrational",2000,2000,1999,0.425959561206681,0.579612402734585,0.00283152466637034,0.00271208197155783,-71.3046955997416,NaN,NaN,0,-1.59442146475952,0.005,-0.15787888142389,-0.149426801631917
paired_ttest,two_sided,dist_CCM_avg,area,"OFC,dlPFC","model_config,fit_phase","4,irrational",2000,2000,1999,3.05568137445687,3.26427570725498,0.0126643405686717,0.0126128297251428,-45.4340143894297,NaN,NaN,3.10199773207546e-310,-1.01593544665469,0.005,-0.217598271312106,-0.199590394284109
